latitude,longitude,altitude,geometry,coordinates,dis_ID,district,sub_ID,subdist,pop1851,pop_house,supplier,supplierID,perc_sou,perc_lam,perc_other,lam_degree,d_overall,d_sou,d_lam,d_pump,d_thames,d_unasc,rate_sou7w,rate_lam7w,rate_oth7w,deaths1849,deaths1854,rate1849,rate1854,pop1849,pop1854,rAvSupR_49,rAvSupR_54,pred_Snow,pred_DiD49,pred_DiD54,District_1,Area (Acres),Elevation,"Houses, Inhabited",Value of Houses,Sub-District,Population (1851),Deaths from Cholera (1853),Lambeth,Southwark and Vauxhall,sub_ID_1
,,,MultiPolygon,"-0.078952208514311,51.49494598438275,-0.079328707298035,51.49544855383271,-0.078460784591895,51.495285414659385,-0.076873459057088,51.49520975390782,-0.075752515862039,51.49538992672148,-0.07548485167287,51.496080497897964,-0.075296652294629,51.49677237269807,-0.075556040275424,51.49816655645124,-0.075054105646756,51.49875400133574,-0.074322089034162,51.49913910527261,-0.073905880230156,51.49957903224244,-0.074018841261093,51.500207898026545,-0.073452257357535,51.500574875773204,-0.072583176345299,51.50091847284128,-0.071935647798374,51.501666579598485,-0.071174664499906,51.50224322200975,-0.070244254180047,51.502694407019774,-0.069388750936839,51.50231036520574,-0.068605851619904,51.501785598216905,-0.067567554445125,51.50176385694963,-0.066516849071615,51.50137573410635,-0.064377895313353,51.50070042853519,-0.061946944704217,51.50117833853923,-0.060042767198922,51.500934965989835,-0.060037426527528,51.500466980491964,-0.06000228437295,51.499937380256675,-0.060192130038337,51.499453373645984,-0.060188384330031,51.49837518083426,-0.059616566234654,51.497570014197194,-0.059834318052122,51.49659833893169,-0.05936055128033,51.49577484046661,-0.058111275635025,51.49489438022822,-0.057223635763277,51.49450957496802,-0.05729266512595,51.49386015799171,-0.057421239672623,51.49331373750848,-0.058030352752597,51.492879112640956,-0.058916991097316,51.4927146424922,-0.059591749354081,51.49228137723694,-0.059585076976072,51.49182362625139,-0.05901727184382,51.490947283221615,-0.058948033856006,51.49045772477052,-0.058781615903962,51.48994576203395,-0.058305344889186,51.48918319779132,-0.058025171584462,51.48867904528674,-0.059066615060371,51.48836524681545,-0.059728218124705,51.48815545494457,-0.060330267731825,51.48784266406815,-0.06164197147411,51.487056703508664,-0.062317482472417,51.486603061353264,-0.063722953742723,51.48644951668027,-0.064757613639539,51.48710170190506,-0.065519133005723,51.48742282711816,-0.06660275405765,51.48779127102826,-0.067602527707363,51.48850369609243,-0.06916324676083,51.48904479526078,-0.069936115429343,51.48916262010311,-0.070967224614351,51.489326560222075,-0.071948271882891,51.489204854985445,-0.073168572115615,51.489600776483655,-0.074069154408397,51.4896152902123,-0.076320937446293,51.49001813911699,-0.07595513220716,51.490578144737526,-0.075664523152022,51.491814383316395,-0.075610208527601,51.49310413926436,-0.076777157136896,51.49371896685799,-0.077939963912577,51.494432995199126,-0.078952208514311,51.49494598438275",1,Bermondsey,4,St. James Bermondsey,18899,6.6,SouthwarkVauxhall,1,1,0,0,dirty_none,123,102,0,0,21,0,53.308247,,,249,362,143.218682,189.192014,17386,19134,134.861083,146.611474,156,199.389367,201.780519,Bermondsey,688,0,5674,107821,St. James,18899,21,FALSE,TRUE,4
,,,MultiPolygon,"-0.101954883821317,51.50842675670083,-0.100973102083272,51.50836323133037,-0.099914012229876,51.50829619713078,-0.098760046579174,51.508193331214066,-0.09773700943482,51.50825556780043,-0.096672294357328,51.50817239501986,-0.094949673211113,51.50807796568329,-0.094106262611731,51.507720578041,-0.093215181618072,51.50740512390381,-0.092287957404329,51.50702809412,-0.091562925838028,51.5070070246936,-0.090794985504776,51.50695672895429,-0.08989745862261,51.50686090043122,-0.088807404330358,51.506674109611176,-0.087644577927182,51.50656930333321,-0.087976232370525,51.50609065725907,-0.087718442317494,51.50557949757352,-0.088118983149897,51.504982541596526,-0.088928401382123,51.50498772505743,-0.089396501973603,51.50449752846732,-0.088752400265792,51.50392078195813,-0.08939396740633,51.50320171276986,-0.089440082511433,51.50265897499007,-0.088727745874703,51.50218551463402,-0.089106131929531,51.50177268260589,-0.089892432681204,51.50211400230498,-0.090828099701651,51.50265249386416,-0.091838745906691,51.503013470294945,-0.091511753206577,51.50353295062503,-0.092852979638326,51.50372028885367,-0.093106529682718,51.50325553331439,-0.093763415366459,51.50255593940844,-0.094777624504867,51.50227060701627,-0.095329233749256,51.502604704743035,-0.09604796533198,51.50286170404128,-0.096829775653451,51.50303148293259,-0.097529459831141,51.50231907393026,-0.097913121907,51.50186414685408,-0.098809330260272,51.50207623455544,-0.099614653344626,51.501897211474564,-0.100482656948246,51.50176992185914,-0.101244064141283,51.50191053655543,-0.101375919596264,51.50242145388091,-0.10142438048501,51.503032187331726,-0.101436497269878,51.503607345641655,-0.101557599977013,51.504312131187355,-0.101249443949369,51.50507418007428,-0.100770128785782,51.50579369249363,-0.100568877304528,51.50625846802477,-0.10060180985214,51.50676595707212,-0.101262513408782,51.50722951529836,-0.102006791374101,51.507654517746495,-0.101954883821317,51.50842675670083",8,St. Saviour Southwark,1,St. Saviour Southwark,19709,7.3,SouthwarkVauxhall,1,0.826838,0,0.173162,dirty_none,125,115,0,0,10,0,69.082619,,28.683987,283,371,145.636064,184.274574,19432,20133,134.861083,146.611474,153,151.964563,153.78698,"St. Saviour, Southwark",250,3,4659,174732,St. Saviour,19709,45,FALSE,TRUE,1
,,,MultiPolygon,"-0.086658629822922,51.50237125052062,-0.086178709940459,51.503100390027306,-0.08533802591006,51.50317589120681,-0.085678740426381,51.5038133227781,-0.086397894031358,51.50397343703032,-0.087236356378422,51.50429539212835,-0.087346892543352,51.50490321049865,-0.088118983149897,51.504982541596526,-0.087718442317494,51.50557949757352,-0.087976232370525,51.50609065725907,-0.087644577927182,51.50656930333321,-0.086282726496111,51.50633534192897,-0.085222760958486,51.506290782218606,-0.083929893957758,51.50608742652312,-0.083105709667588,51.50594005310407,-0.082286468789146,51.50588956548023,-0.080982192627992,51.5056796676364,-0.080044321041213,51.50540915283453,-0.079713277258377,51.50490745436653,-0.079721807702555,51.504426068998086,-0.080106321717513,51.50401982933142,-0.080333570606525,51.503584036514546,-0.081227415186995,51.50344396363512,-0.081798914893367,51.50381709094481,-0.082486336178825,51.50413211339233,-0.08326269911127,51.5043666685724,-0.083236107455566,51.50369122798925,-0.083109157507404,51.503025247218766,-0.082758253665911,51.50241700769587,-0.083474308943431,51.50232824769885,-0.084277141085021,51.5017807333454,-0.084853557347091,51.502144090501986,-0.085807791942921,51.50232406536153,-0.086658629822922,51.50237125052062",7,St. Olave Southwark,2,St. Olave Southwark,8015,9.1,SouthwarkVauxhall,1,1,0,0,dirty_none,53,43,0,0,5,5,53.649407,,,157,161,195.88272,200.873362,8015,8015,134.861083,146.611474,160,199.389367,201.780519,"St. Olave, Southwark",250,3,4659,174732,St. Olave,8015,19,FALSE,TRUE,2
,,,MultiPolygon,"-0.079713277258377,51.50490745436653,-0.078632160099867,51.5049598613576,-0.077502872465813,51.504530505612394,-0.076309349643869,51.50413001367002,-0.074980403322984,51.5038876077207,-0.073989502363466,51.50365902884328,-0.073156138461254,51.503346757228854,-0.072318284189928,51.50292775917811,-0.071683450539272,51.50260637522146,-0.071174664499906,51.50224322200975,-0.071935647798374,51.501666579598485,-0.072583176345299,51.50091847284128,-0.073452257357535,51.500574875773204,-0.074018841261093,51.500207898026545,-0.075328014591691,51.50027575954925,-0.075946055107066,51.50001218892094,-0.077077400668999,51.499426976412884,-0.077765931236687,51.49960631350897,-0.078817714887329,51.50001290017082,-0.078777612348616,51.500516812151346,-0.078664043596734,51.501140217971866,-0.079344365069031,51.50166548541887,-0.08013677394699,51.501774006710086,-0.080898715405842,51.50181472012059,-0.082014267046693,51.50209853235872,-0.082758253665911,51.50241700769587,-0.083109157507404,51.503025247218766,-0.083236107455566,51.50369122798925,-0.08326269911127,51.5043666685724,-0.082486336178825,51.50413211339233,-0.081798914893367,51.50381709094481,-0.081227415186995,51.50344396363512,-0.080333570606525,51.503584036514546,-0.080106321717513,51.50401982933142,-0.079721807702555,51.504426068998086,-0.079713277258377,51.50490745436653",7,St. Olave Southwark,3,St. John Horsleydown,11360,7.7,SouthwarkVauxhall,1,0.837219,0,0.162781,dirty_none,51,48,0,0,3,0,49.815513,,16.013260,192,148,172.972973,128.595013,11100,11509,134.861083,146.611474,160,154.459193,156.311526,"St. Olave, Southwark",250,3,4659,174732,"St. John, Horsleydown",11360,7,FALSE,TRUE,3
,,,MultiPolygon,"-0.101954883821317,51.50842675670083,-0.102006791374101,51.507654517746495,-0.101262513408782,51.50722951529836,-0.10060180985214,51.50676595707212,-0.100568877304528,51.50625846802477,-0.100770128785782,51.50579369249363,-0.101249443949369,51.50507418007428,-0.101557599977013,51.504312131187355,-0.101436497269878,51.503607345641655,-0.10142438048501,51.503032187331726,-0.101375919596264,51.50242145388091,-0.102880980452125,51.50219851465675,-0.104224993527131,51.501884853913296,-0.105378027001499,51.501919786188914,-0.106251401698416,51.50192321387881,-0.106411206989904,51.50247813424691,-0.106643477790488,51.503022983557,-0.106751351672862,51.50354910367339,-0.10674931794554,51.50416309397838,-0.106587922885148,51.5048846703407,-0.107203875033521,51.505559640624945,-0.108230718957654,51.50577334223282,-0.108060595880389,51.506249451453435,-0.108445179514139,51.50685787487618,-0.108489193609542,51.507339124246144,-0.109063366349902,51.50769768749896,-0.109014157541213,51.50821185810154,-0.107987072920394,51.508350414988854,-0.104871492597294,51.508442026254414,-0.10406861802099,51.50853808479361,-0.102925107407437,51.508551770191794,-0.101954883821317,51.50842675670083",8,St. Saviour Southwark,13,Christchurch Southwark,16022,8.5,SouthwarkVauxhall_Lambeth,2,0.180344,0.807445,0.012211,more_Lambeth,25,11,13,0,0,1,37.033724,9.775454,0.000000,256,113,162.746345,68.609593,15730,16470,130.102049,84.857854,57,138.975993,51.239985,"St. Saviour, Southwark",250,3,4659,174732,Christchurch,16022,7,TRUE,TRUE,13
,,,MultiPolygon,"-0.115688885593036,51.5069247406889,-0.114163409490901,51.50724727755375,-0.11271958465862,51.50777287888453,-0.111094235835295,51.507982907624644,-0.109014157541213,51.50821185810154,-0.109063366349902,51.50769768749896,-0.108489193609542,51.507339124246144,-0.108445179514139,51.50685787487618,-0.108060595880389,51.506249451453435,-0.108230718957654,51.50577334223282,-0.107203875033521,51.505559640624945,-0.106587922885148,51.5048846703407,-0.10674931794554,51.50416309397838,-0.106751351672862,51.50354910367339,-0.106643477790488,51.503022983557,-0.106411206989904,51.50247813424691,-0.106251401698416,51.50192321387881,-0.106999236746969,51.501631226430405,-0.107652751066416,51.5013333565661,-0.108306226496858,51.50105796386874,-0.109446772558915,51.501241875075095,-0.115688885593036,51.5069247406889",3,Lambeth,20,Waterloo Road (1st),14088,8.1,SouthwarkVauxhall_Lambeth,2,0.236592,0.763408,0,more_Lambeth,10,9,1,0,0,0,26.196682,0.902083,,193,58,139.784167,39.942153,13807,14521,130.102049,84.857854,57,144.329151,56.226196,Lambeth,4015,3,17791,510341,"Waterloo Road, 1st",14088,1,TRUE,TRUE,20
,,,MultiPolygon,"-0.115688885593036,51.5069247406889,-0.109446772558915,51.501241875075095,-0.108306226496858,51.50105796386874,-0.108712068947191,51.50065169484421,-0.108986448351277,51.50013623702365,-0.109455368179974,51.499706815035545,-0.109819161636868,51.4992716220899,-0.11008950619459,51.49885318823124,-0.110630917274637,51.49804204338895,-0.111419391687712,51.49837664939218,-0.112949541934666,51.49878444852421,-0.11385050135547,51.49929606224992,-0.114775627953661,51.4997462335749,-0.115748191766541,51.500509510346674,-0.116470043811038,51.5006054112655,-0.117222322341993,51.50066231328278,-0.118412249629267,51.5006098918936,-0.119150396323196,51.50074762823038,-0.119902005408565,51.50073340494796,-0.120379259400306,51.501215271393505,-0.12014677454175,51.50205052149055,-0.119742738790935,51.5026119798693,-0.119312634975189,51.50350012264724,-0.119178066752129,51.50394688928474,-0.118830642346735,51.5044013418726,-0.118229767504148,51.505083566063135,-0.117976003404206,51.50590919671725,-0.116997434756448,51.50646760699585,-0.115688885593036,51.5069247406889",3,Lambeth,21,Waterloo Road (2nd),18348,8.4,SouthwarkVauxhall_Lambeth,2,0.373706,0.626294,0,less_Lambeth,36,25,8,1,2,0,35.835387,6.842487,,243,117,133.980261,62.674095,18137,18668,130.102049,84.857854,75,152.954294,70.73111,Lambeth,4015,3,17791,510341,"Waterloo Road, 2nd",18348,7,TRUE,TRUE,21
,,,MultiPolygon,"-0.101375919596264,51.50242145388091,-0.101244064141283,51.50191053655543,-0.100482656948246,51.50176992185914,-0.099614653344626,51.501897211474564,-0.098809330260272,51.50207623455544,-0.097913121907,51.50186414685408,-0.097529459831141,51.50231907393026,-0.096829775653451,51.50303148293259,-0.09604796533198,51.50286170404128,-0.095329233749256,51.502604704743035,-0.094777624504867,51.50227060701627,-0.093763415366459,51.50255593940844,-0.093106529682718,51.50325553331439,-0.092852979638326,51.50372028885367,-0.091511753206577,51.50353295062503,-0.091838745906691,51.503013470294945,-0.092045470276727,51.50254879811898,-0.092387583568824,51.50211976905003,-0.092625420001938,51.50166459449345,-0.092993990799363,51.50124863978875,-0.093817756937288,51.5006494128526,-0.094424027424502,51.50034171527614,-0.095608415040132,51.499709835611235,-0.0964627372461,51.4992402142942,-0.09725392939172,51.49875087485179,-0.098432310593333,51.499018548594705,-0.099173657096912,51.499055718244456,-0.100573362263714,51.49885203724716,-0.101581781534673,51.49878968096141,-0.102600275774382,51.49870148487317,-0.103597828196672,51.49859706380428,-0.104455228169476,51.498463110260964,-0.105213661254251,51.49819673772775,-0.106076600346613,51.49762475523221,-0.106834137300811,51.497444630286495,-0.107658862934795,51.49722919288641,-0.108919077817716,51.49702133513747,-0.110125148535115,51.49670720974069,-0.111114125911473,51.496830492107044,-0.111148414122713,51.497373267811014,-0.110630917274637,51.49804204338895,-0.11008950619459,51.49885318823124,-0.109819161636868,51.4992716220899,-0.109455368179974,51.499706815035545,-0.108986448351277,51.50013623702365,-0.108712068947191,51.50065169484421,-0.108306226496858,51.50105796386874,-0.107652751066416,51.5013333565661,-0.106999236746969,51.501631226430405,-0.106251401698416,51.50192321387881,-0.105378027001499,51.501919786188914,-0.104224993527131,51.501884853913296,-0.102880980452125,51.50219851465675,-0.101375919596264,51.50242145388091",6,St. George Southwark,15,Borough Road,15862,7.7,SouthwarkVauxhall_Lambeth,2,0.561958,0.438042,0,less_Lambeth,71,61,7,0,0,3,66.972485,9.859458,,312,270,199.552287,166.584403,15635,16208,130.102049,84.857854,103,165.642081,96.929431,"St. George, Southwark",282,0,6663,155175,Borough Road,15862,26,TRUE,TRUE,15
,,,MultiPolygon,"-0.092625420001938,51.50166459449345,-0.092387583568824,51.50211976905003,-0.092045470276727,51.50254879811898,-0.091838745906691,51.503013470294945,-0.090828099701651,51.50265249386416,-0.089892432681204,51.50211400230498,-0.089106131929531,51.50177268260589,-0.089389417526681,51.50085598000735,-0.088077716069229,51.50050342255195,-0.086296903124734,51.49922581157892,-0.08616689567572,51.49865350361247,-0.08576911822803,51.498218177178856,-0.084841386791147,51.497365032814436,-0.083800202805697,51.49646653734158,-0.084329181299031,51.49607297390998,-0.083834708880163,51.495045781183904,-0.082110377451887,51.49393187684371,-0.081577070764912,51.49359548550848,-0.08047511655054,51.4923928177834,-0.079588181578565,51.491987960789146,-0.078789417680733,51.4911780475516,-0.077928829307756,51.490875478757026,-0.077469043770896,51.4903980775741,-0.076320937446293,51.49001813911699,-0.076927302786328,51.48904437731373,-0.07767267638042,51.48851071920248,-0.078667541677098,51.488145119304356,-0.079507315755184,51.48881336957077,-0.080639404123932,51.48946742980601,-0.081746957073399,51.48999897474601,-0.082362685065096,51.49060157395447,-0.083579503803713,51.490911759017884,-0.084001818988551,51.4914899713432,-0.084745426881282,51.49213595671847,-0.085711443345045,51.492867906548646,-0.086787605215495,51.49337837592809,-0.087899147277234,51.49325908745543,-0.088429042450914,51.49365651570953,-0.089281597634688,51.49467083602254,-0.087948102230037,51.495273664633835,-0.087283540719343,51.496114032211885,-0.087544485552693,51.49725837996357,-0.089373138105872,51.49825236149791,-0.089640196942389,51.49929507482021,-0.090209966781933,51.50014080573075,-0.090758558034781,51.50078273169522,-0.091955934035755,51.50145839638574,-0.092625420001938,51.50166459449345",6,St. George Southwark,14,Kent Road,18126,7.1,SouthwarkVauxhall_Lambeth,2,0.683467,0.225837,0.090696,less_Lambeth,57,52,5,0,0,0,40.185229,11.693782,0.000000,267,174,156.911142,91.903026,17016,18933,130.102049,84.857854,128,157.181045,119.93045,"St. George, Southwark",282,0,6663,155175,Kent Road,18126,37,TRUE,TRUE,14
,,,MultiPolygon,"-0.110630917274637,51.49804204338895,-0.111148414122713,51.497373267811014,-0.111114125911473,51.496830492107044,-0.111305990446334,51.49639308722381,-0.111862799732966,51.49599247048966,-0.114726703822429,51.49434162189084,-0.115677652210455,51.49387959775375,-0.116629481626939,51.493417579842756,-0.119078880044528,51.49154836222512,-0.119727684623944,51.49092184081558,-0.120546396762746,51.48892175556875,-0.12122689591255,51.486865775797305,-0.122357042367619,51.48630933700139,-0.123363339744269,51.486444597540185,-0.124813089298097,51.487247051468394,-0.124061541309171,51.48792324285672,-0.122669996647781,51.48958286316742,-0.122447719280503,51.49124601897351,-0.122055228355066,51.49192401138366,-0.121555812169487,51.49487428253148,-0.121412333390376,51.495385683730305,-0.121078468970695,51.49605997545657,-0.121092270529864,51.496622090384854,-0.121040140568722,51.497320426172124,-0.12061370139687,51.49947854915463,-0.120375564936455,51.50032017288231,-0.119902005408565,51.50073340494796,-0.119150396323196,51.50074762823038,-0.118412249629267,51.5006098918936,-0.117222322341993,51.50066231328278,-0.116470043811038,51.5006054112655,-0.115748191766541,51.500509510346674,-0.114775627953661,51.4997462335749,-0.11385050135547,51.49929606224992,-0.112949541934666,51.49878444852421,-0.111419391687712,51.49837664939218,-0.110630917274637,51.49804204338895",3,Lambeth,22,Lambeth Church (1st),18409,7.5,SouthwarkVauxhall_Lambeth,2,0.169753,0.830247,0,more_Lambeth,18,6,9,0,1,2,19.20009,5.888505,,215,49,116.7907,26.617415,18409,18409,130.102049,84.857854,49,140.302747,50.27499,Lambeth,4015,3,17791,510341,"Lambeth Church, 1st",18409,9,TRUE,TRUE,22
