ZIP,POP,P0_44,P45_64,P65_,PER65,MEDINC,PERNOINS,PERW,PERHIS,PERBLK,PERASN,PERAUTO,PERTRAN,PERPEDB,PERTELE,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,FDTRTPER,WS_5,POPDENS,PERCROWD,CASE4_16,TEST4_16,CASER4_16,TESTR4_16,POSRATE4_16
60601,14675,9432,3168,2075,0.141397,103243,0.029972,0.659421,0.086814,0.052266,0.179966,0.261451,0.178218,0.449679,0.077467,0.810139,0.007382,0.000868,0.00304,0.010421,0,55.353747,0.015708291,0.00484966,35,189,2.385008518,12.879046,0.185185185
60605,27519,18480,6470,2569,0.093354,111164,0.026408,0.573458,0.058432,0.16534,0.161016,0.346656,0.286901,0.258748,0.068008,0.714412,0.010401,0.014108,0.030927,0.000885,0,47.900487,0.008531388,0.02484985,74,441,2.689051201,16.02529162,0.167800454
60606,3101,1964,706,431,0.138987,131477,0.023632,0.686553,0.062883,0.023541,0.180909,0.242353,0.149804,0.431373,0.127451,0.750098,0.012162,0.0357,0.009808,0,0,55.775578,0.005442996,0.02451226,22,132,7.09448565,42.5669139,0.166666667
60607,29591,23912,4075,1604,0.054206,93508,0.03399,0.52178,0.083032,0.143963,0.224562,0.362396,0.267698,0.285297,0.062024,0.701144,0.005382,0.022648,0.028759,0.016706,0,61.040068,0.004991751,0.02960289,143,526,4.832550438,17.77567504,0.271863118
60608,79205,54670,16683,7852,0.099135,44043,0.151609,0.191251,0.506862,0.172426,0.120295,0.559437,0.287764,0.100713,0.03295,0.409088,0.033471,0.020396,0.109536,0.056192,0.166667,61.559835,0.004852439,0.0632193,381,1269,4.81030238,16.0217158,0.300236407
60609,61495,41352,13166,6977,0.113456,35179,0.156531,0.14915,0.534352,0.243288,0.062964,0.671268,0.231324,0.063785,0.025547,0.338874,0.035461,0.028845,0.101057,0.068783,0.413793,39.705417,0.003067062,0.07988031,290,872,4.715830555,14.18001464,0.332568807
60610,39019,25344,7646,6029,0.154514,86803,0.038046,0.687076,0.06666,0.145211,0.081037,0.301776,0.36386,0.191573,0.07918,0.705117,0.012628,0.005429,0.038887,0.005198,0,53.438216,0.013017263,0.01680455,108,548,2.767882314,14.04443989,0.197080292
60611,32426,17665,7682,7079,0.218312,103522,0.020385,0.714458,0.052458,0.02754,0.176525,0.264482,0.207737,0.38197,0.076828,0.761555,0.005898,0.007977,0.01755,0.002466,0,93.067471,0.015313428,0.01835496,75,537,2.312958737,16.56078456,0.139664804
60612,34311,24173,7002,3136,0.091399,41300,0.082652,0.213751,0.122585,0.599341,0.046195,0.473753,0.337696,0.097341,0.07075,0.534926,0.052931,0.029782,0.051374,0.031542,0.238095,71.271572,0.003533726,0.04759398,282,1181,8.218938533,34.42044825,0.238780694
60613,50113,35978,9706,4429,0.08838,82321,0.060222,0.730349,0.112985,0.056951,0.065971,0.351514,0.482764,0.077503,0.074668,0.655627,0.015182,0.014198,0.043577,0.015097,0,51.141255,0.008897851,0.02168915,162,617,3.232694111,12.31217449,0.262560778
