STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/29/28,0,39,27
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/1/28,0,36,20
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/2/28,0,42,25
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/3/28,0,37,15
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/4/28,0,41,16
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/5/28,0,28,8
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/6/28,0,38,22
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/7/28,0,43,28
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/8/28,0.36,42,28
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/9/28,0.06,39,27
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/10/28,0,33,28
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/11/28,0.04,44,30
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/12/28,0,64,32
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/13/28,0.15,55,34
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/14/28,0,42,30
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/15/28,0,36,26
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/16/28,0,31,26
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/17/28,0,31,27
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/18/28,0,37,26
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/19/28,0,43,26
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/20/28,0,43,28
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/21/28,0,55,29
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/22/28,0,62,37
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/23/28,0,77,33
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/24/28,0,74,50
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/25/28,0,71,53
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/26/28,0.33,57,22
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/27/28,0,31,18
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/28/28,0,38,26
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/29/28,0.35,35,30
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/30/28,0.1,36,27
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/31/28,0,48,26
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/1/28,0,60,35
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/2/28,0,71,41
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/3/28,0,74,58
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/4/28,0.08,66,58
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/5/28,0.9,62,43
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/6/28,0.13,64,39
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/7/28,0.28,53,27
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/8/28,0.01,35,26
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/9/28,0,36,22
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/10/28,0,48,27
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/11/28,0,55,32
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/12/28,0,56,36
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/13/28,0.47,53,33
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/14/28,0.1,43,25
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/15/28,0,34,21
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/16/28,0,52,28
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/17/28,0,46,35
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/18/28,0,68,34
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/19/28,0,45,33
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/20/28,0,44,31
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/21/28,0,47,39
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/22/28,0,49,34
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/23/28,0,54,32
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/24/28,0,47,31
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/25/28,0,47,32
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/26/28,0,51,29
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/27/28,0,45,28
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/28/28,0,64,30
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/29/28,0.04,74,38
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/30/28,0,67,50
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/1/28,0,72,47
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/2/28,0,83,44
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/3/28,0,89,62
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/4/28,0.09,79,45
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/5/28,0,65,45
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/6/28,0,53,39
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/7/28,0,57,35
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/8/28,0,73,37
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/9/28,0,86,48
