Date,ActivityType,Duration_minutes,Steps,CaloriesBurned,HeartRateAvg_bpm,SleepHours,Hydration_L
2024-05-01,Walking,30,5500,250,95,7.5,2.0
2024-05-01,Strength,45,1200,300,110,7.5,2.2
2024-05-02,Running,40,7800,450,135,6.8,2.5
2024-05-02,Yoga,60,800,150,80,6.8,1.8
2024-05-03,Walking,60,8200,380,105,7.2,2.1
2024-05-03,Strength,30,1000,200,100,7.2,1.9
2024-05-04,Running,35,6500,380,128,8.0,2.3
2024-05-04,Rest,0,500,100,70,8.0,1.5
2024-05-05,Cycling,50,6000,400,120,7.0,2.4
2024-05-05,Yoga,45,700,120,85,7.0,1.7
2024-05-06,Walking,45,6800,320,100,7.1,2.0
2024-05-07,Strength,60,1500,450,115,7.8,2.2
2024-05-08,Running,30,5000,300,125,6.5,2.1
